,Unnamed: 0,Av,Av_err,B_V,Unnamed: 0.1,age,age_err,av,av_err1,av_err2,bv,bv_err,datalink_dvr,dataspan,dec,dens,dens_err1,dens_err2,dist,dist_err1,dist_err2,dutycycle,feh,feh_err1,feh_err2,feh_prov,hmag,hmag_err,jmag,jmag_err,kepid,kepmag,kmag,kmag_err,logg,logg_err1,logg_err2,logg_prov,mass,mass_err,mass_err1,mass_err2,mesthres01p5,mesthres02p0,mesthres02p5,mesthres03p0,mesthres03p5,mesthres04p5,mesthres05p0,mesthres06p0,mesthres07p5,mesthres09p0,mesthres10p5,mesthres12p0,mesthres12p5,mesthres15p0,nconfp,nkoi,ntce,prot,prot_err,prot_ref,prov_sec,ra,radius,radius_err1,radius_err2,rrmscdpp01p5,rrmscdpp02p0,rrmscdpp02p5,rrmscdpp03p0,rrmscdpp03p5,rrmscdpp04p5,rrmscdpp05p0,rrmscdpp06p0,rrmscdpp07p5,rrmscdpp09p0,rrmscdpp10p5,rrmscdpp12p0,rrmscdpp12p5,rrmscdpp15p0,st_delivname,st_quarters,st_vet_date_str,teff,teff_err1,teff_err2,teff_prov,tgas_astrometric_delta_q,tgas_astrometric_excess_noise,tgas_astrometric_excess_noise_sig,tgas_astrometric_n_bad_obs_ac,tgas_astrometric_n_bad_obs_al,tgas_astrometric_n_good_obs_ac,tgas_astrometric_n_good_obs_al,tgas_astrometric_n_obs_ac,tgas_astrometric_n_obs_al,tgas_astrometric_primary_flag,tgas_astrometric_priors_used,tgas_astrometric_relegation_factor,tgas_astrometric_weight_ac,tgas_astrometric_weight_al,tgas_b,tgas_dec,tgas_dec_error,tgas_dec_parallax_corr,tgas_dec_pmdec_corr,tgas_dec_pmra_corr,tgas_duplicated_source,tgas_ecl_lat,tgas_ecl_lon,tgas_hip,tgas_l,tgas_match_distance,tgas_matched_observations,tgas_parallax,tgas_parallax_error,tgas_parallax_pmdec_corr,tgas_parallax_pmra_corr,tgas_phot_g_mean_flux,tgas_phot_g_mean_flux_error,tgas_phot_g_mean_mag,tgas_phot_g_n_obs,tgas_phot_variable_flag,tgas_pmdec,tgas_pmdec_error,tgas_pmra,tgas_pmra_error,tgas_pmra_pmdec_corr,tgas_ra,tgas_ra_dec_corr,tgas_ra_error,tgas_ra_parallax_corr,tgas_ra_pmdec_corr,tgas_ra_pmra_corr,tgas_random_index,tgas_ref_epoch,tgas_scan_direction_mean_k1,tgas_scan_direction_mean_k2,tgas_scan_direction_mean_k3,tgas_scan_direction_mean_k4,tgas_scan_direction_strength_k1,tgas_scan_direction_strength_k2,tgas_scan_direction_strength_k3,tgas_scan_direction_strength_k4,tgas_solution_id,tgas_source_id,tgas_tycho2_id,tm_designation,R_kpc,R_kpc_err,phi_rad,phi_rad_err,z_kpc,z_kpc_err,vR_kms,vR_kms_err,vT_kms,vT_kms_err,vz_kms,vz_kms_err,Jr,Jr_err,Lz,Lz_err,Jz,Jz_err
0,0,0.0,0.1,,,4.567,0.01,,,,0.6512579795673092,0.01,,,,,,,,,,,0.0,0.1,,,3.452,0.01,3.711,0.01,,,3.357,0.01,4.45,0.01,,,1.0,0.1,,,,,,,,,,,,,,,,,,,,26.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,5700,100.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,100.0,1.0,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,,,0.4527573805649361,0.0,,,,,,0.4527573805649361,,,1459.789,46.963531,0.8932,0.2881,-0.6753,,,,0.6992,0.21,0.15,-0.41,KIC0,9.94,0.018000000000000002,10.143,0.021,10023062.0,11.055,9.908,0.014,4.348,0.061,-0.388,KIC0,1.339,,0.242,-0.262,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,0.0,0.0,0.0,0.8909999999999999,0.003,Table_1_Periodic.txt,DSEP,296.22888,1.283,0.872,-0.184,90.154,101.912,115.711,127.508,142.683,164.75,171.144,182.43,197.081,203.167,203.143,201.866,201.428,197.76,q1_q17_dr24_stellar,1.1111101110111012e+16,2015-01-15,6535,156.0,-255.0,PHO1,,0.3682411711470258,267.95746793695474,5.0,0.0,102.0,107.0,107.0,107.0,False,5.0,3.7064630985260014,3.2269723305944347e-05,6.395692825317383,11.118753934004353,46.9635457153876,0.22440640182246485,0.6312707662582397,-0.5576855540275574,-0.6332547068595886,False,66.08141039059775,318.0678343174815,-2147483648.0,80.34796148199783,2.481459097758771e-05,17.0,2.815148798897539,0.2704718882702755,-0.11377529799938202,-0.8640292882919312,700437.1716942401,580.5709211753417,10.911347099547728,142.0,b'NOT_AVAILABLE',2.3263496127636802,0.7383352961647915,3.4852685909412413,1.0130885594086054,0.1268194019794464,296.22886567090205,0.5303075909614563,0.1504534455064834,0.4676751494407654,-0.2959897518157959,-0.6414521932601929,1784691.0,2015.0,-103.07330322265624,-77.25157165527344,48.92295837402344,12.475908279418945,0.2010476142168045,0.2283194363117218,0.19725044071674347,0.33658596873283386,1.6353784107819336e+18,2.0805369276071311e+18,b'3561-306-1  ',2MASS J19445492+4657487,,,,,,,,,,,,,,,,,,
2,1,,,0.3626990071732879,1.0,,,,,,0.36269900717328785,,,1459.789,46.912689,0.07526000000000001,0.217,-0.02667,,,,0.6988,-0.06,0.26,-0.3,KIC0,10.068,0.018000000000000002,10.292,0.02,10027112.0,11.569,10.035,0.015,3.674,0.348,-0.11,KIC0,1.785,,0.22399999999999998,-0.4970000000000001,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,0.0,0.0,0.0,0.0,0.0,0.0,DSEP,297.44528,3.221,0.659,-1.371,79.757,79.226,82.074,83.068,85.824,89.037,90.549,94.573,101.466,106.881,112.222,118.091,120.342,132.154,q1_q17_dr24_stellar,1.1111101110111012e+16,2015-01-15,6756,232.0,-339.0,PHO1,,0.22287876820835348,82.54652522680131,3.0,4.0,95.0,94.0,98.0,98.0,False,5.0,2.380391836166382,2.820819463522639e-05,17.149789810180664,10.364451726488898,46.91270414415761,0.17432500404140625,0.8361703753471375,-0.5000923275947571,-0.752511203289032,False,65.67082773997902,319.83870861378506,-2147483648.0,80.70549384927659,1.1046502544146038e-05,15.0,1.0942245846941498,0.2432076914030797,-0.3646609485149384,-0.8773829340934753,574242.0581192302,1906.0529661119394,11.127032570014608,115.0,b'NOT_AVAILABLE',1.0955251540303363,0.5738297540730871,-3.58557358192111,1.00413394561902,0.2674592435359955,297.4452534773364,0.5150825381278992,0.1318642004338597,0.6120628118515015,-0.2939647138118744,-0.7013599872589111,1570599.0,2015.0,-100.59490966796876,31.58906173706055,17.44498062133789,-3.26470947265625,0.2284296005964279,0.16611196100711825,0.13283881545066833,0.2070962339639664,1.6353784107819336e+18,2.0803108061671944e+18,b'3561-825-1  ',2MASS J19494686+4654457,7.90423998513563,0.0,0.11247740465162195,0.0,0.18896226315063877,0.0,13.15260970458333,0.0,227.11627144183012,0.0,22.644420546400998,0.0,4.617346797192565,0.0,1795.1815140054314,0.0,5.0360004840117565,0.0
3,2,,,0.4190943322094292,2.0,,,,,,0.41909433220942915,,010/010031/010031808/dv/kplr010031808-20141002224145_dvr.pdf,1459.605,46.930244,0.1523,0.6286,-0.07231,,,,0.6836,-0.56,0.32,-0.3,PHO54,8.452,0.049,8.603,0.024,10031808.0,9.557,8.355,0.022,3.813,0.439,-0.172,PHO54,1.1420000000000001,,0.258,-0.252,7.134,7.102,10.217,11.499,14.119000000000002,22.643,18.308,17.694000000000006,18.995,19.931,24.769,32.388000000000005,42.363,71.87899999999998,0.0,1.0,2.0,0.0,0.0,0.0,DSEP,298.79758,2.194,0.6609999999999999,-1.018,94.38,105.799,121.517,136.122,154.189,181.799,190.93,209.974,239.785,260.741,274.262,287.764,292.836,325.992,q1_q17_dr24_stellar,1.1111101110111012e+16,2015-01-15,6331,199.0,-231.0,PHO54,,0.44055115808207307,311.7483026512857,0.0,2.0,90.0,88.0,90.0,90.0,False,5.0,4.3853845596313485,2.3232903913594786e-05,4.8063645362854,9.567870629360296,46.93025569406766,0.26816362208457456,0.7664866447448729,-0.6279790997505188,-0.4145181477069855,False,65.26937988812878,321.84289800475904,-2147483648.0,81.18049707299761,6.286931789479091e-06,15.0,1.999592993717073,0.2936892517172056,-0.4099088609218597,-0.6276280283927917,2767063.283823984,6361.468672835495,9.41972233449081,113.0,b'NOT_AVAILABLE',3.3187106050191453,0.872795319692222,2.93852796952165,0.8831098888932197,0.2507040202617645,298.7975892696798,-0.16254982352256775,0.17371854077562388,-0.06750678271055223,0.1250769942998886,-0.4906991720199585,1515743.0,2015.0,-140.00648498535156,84.9575424194336,1.6848537921905518,4.141192436218262,0.3397964835166931,0.1637091040611267,0.1634804755449295,0.3876073658466339,1.6353784107819336e+18,2.085564341446949e+18,b'3562-2374-1 ',2MASS J19551141+4655488,7.9391006615802695,0.0,0.06142015029128687,0.0,0.10788814865352137,0.0,14.800043891750889,0.0,231.9775062854506,0.0,4.902847407640854,0.0,7.693202932689736,0.0,1841.6927736225618,0.0,0.5860101864197701,0.0
4,3,,,1.2284431910137013,3.0,,,,,,1.2284431910137013,,,1459.789,46.922131,0.000493,1.409e-05,-1.409e-05,,,,0.6992,0.22,0.05,-0.05,SPE55,8.894,0.033,9.538,0.025,10031856.0,11.644,8.693999999999999,0.018000000000000002,2.201,0.011,-0.013,AST55,1.58,,0.18,-0.18,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,0.0,0.0,0.0,0.0,0.0,0.0,MULT55,298.81061,16.47,0.77,-0.78,89.61,98.661,112.305,124.843,140.798,162.458,168.80599999999995,181.318,203.603,219.895,230.139,240.918,245.373,273.217,q1_q17_dr24_stellar,1.1111101110111012e+16,2015-01-15,4452,78.0,-78.0,PHO55,,0.5902441673892282,290.8036478287137,2.0,0.0,69.0,71.0,71.0,71.0,False,5.0,5.807425498962402,3.0441855415119786e-05,2.763300895690918,9.556096875887873,46.92212719411464,0.3967460997919819,0.8139026761054993,-0.7027417421340942,-0.61931973695755,False,65.25807182743122,321.852935267526,-2147483648.0,81.17783500023755,2.9854742043779774e-05,10.0,1.066962216233767,0.4872447449007017,-0.7318689823150635,-0.8511675000190735,425733.7581612915,207.68132693103541,11.451924842544464,79.0,b'NOT_AVAILABLE',-3.3323991639513144,1.9082751440822143,-1.8177084493193996,1.6871996898987711,0.6599001884460449,298.81064005618464,0.09800589084625244,0.2103581253262365,0.30837029218673706,-0.19483831524848927,-0.635424017906189,1892983.0,2015.0,-101.4456558227539,86.32142639160156,-0.4755426645278929,10.243964195251463,0.3116072416305542,0.4767853319644928,0.4443841874599457,0.3124396800994873,1.6353784107819336e+18,2.085564272727473e+18,b'3562-2408-1 ',2MASS J19551455+4655196,7.910664212469092,0.0,0.11570980260313476,0.0,0.1801505443868839,0.0,0.246674014806473,0.0,229.49757612716638,0.0,6.664755185294952,0.0,2.8655731845896737,0.0,1815.478262317576,0.0,1.4895255895184032,0.0
5,4,,,0.8511476823183672,4.0,,,,,,0.8511476823184809,,,1459.789,47.030319,0.001884,0.001281,-0.0001238,,,,0.6992,0.07,0.14,-0.65,KIC0,8.286,0.022,8.742,0.02,10087522.0,10.292,8.199,0.014,2.693,0.037000000000000005,-0.024,AST9,3.2569999999999997,,0.054000000000000006,-1.98,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,0.0,0.0,0.0,0.0,0.0,0.0,DSEP,296.39337,13.454,0.299,-5.131,96.082,109.973,120.941,127.678,137.273,150.296,153.661,159.067,163.679,163.987,162.384,160.835,160.444,155.966,q1_q17_dr24_stellar,1.1111101110111012e+16,2015-01-15,5172,176.0,-244.0,PHO1,,0.28564753989773634,44.56530513120058,1.0,1.0,63.0,63.0,64.0,64.0,False,5.0,2.943579912185669,1.7904338164953515e-05,11.023049354553224,11.051266749451473,47.0303038009488,0.2834414904392619,0.8520044088363647,-0.4411556124687195,-0.829889714717865,False,66.09272920203955,318.38866254576664,-2147483648.0,80.46182569761132,3.9348916751999485e-05,12.0,0.3001850045450669,0.4212264702974464,-0.05364948883652687,-0.963712990283966,1428532.874504472,826.5659224385531,10.137544465954015,84.0,b'NOT_AVAILABLE',0.581021328369483,0.6006572535182254,3.3759430853115644,1.3553760424328898,0.04020323231816292,296.3933390189987,0.8007876873016357,0.2150922426620024,0.8723672032356262,-0.1361846923828125,-0.9059237241744996,824907.0,2015.0,151.99375915527344,-81.68716430664062,53.44800567626953,4.531842231750488,0.2797183096408844,0.16858792304992676,0.2128440737724304,0.22494687139987946,1.6353784107819336e+18,2.080538095838232e+18,b'3561-1165-1 ',2MASS J19453440+4701491,8.123519998758725,0.0,0.4081475908244945,0.0,0.6618676621803713,0.0,116.94401998084788,0.0,215.37098429443932,0.0,-34.869742031486496,0.0,200.5641402183001,0.0,1749.5704980682292,0.0,31.215358402949413,0.0
6,5,,,0.5340820242450341,5.0,,,,,,0.5340820242450341,,,1459.789,47.045689,1.3969999999999998,0.2792,-0.9815,,,,0.6988,0.07,0.17,-0.31,KIC0,10.609000000000002,0.017,10.872,0.02,10087717.0,11.938,10.548,0.015,4.455,0.04,-0.342,KIC0,1.1420000000000001,,0.248,-0.156,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,0.0,0.0,0.0,11.091,0.7190000000000001,Table_1_Periodic.txt,DSEP,296.45776,1.048,0.5770000000000001,-0.092,44.255,40.106,38.344,36.179,34.921,32.624,31.762,30.789,29.916,29.493,29.539,29.567,29.641,30.59,q1_q17_dr24_stellar,1.1111101110111012e+16,2015-01-15,6140,145.0,-201.0,PHO1,,0.7475878968200493,236.16070429775726,9.0,1.0,95.0,103.0,104.0,104.0,False,5.0,7.314346790313723,3.080134410993196e-05,1.7475528717041016,11.019775074624937,47.04569886021812,0.32599653250664523,0.6458492875099182,-0.4308660626411438,-0.6398559808731079,False,66.08737089753386,318.5028568352526,-2147483648.0,80.49681064021216,2.217724806177477e-05,17.0,2.058833686266925,0.4014507165792412,-0.14976979792118073,-0.877630889415741,310648.2886509129,219.48937541804463,11.794097650228867,129.0,b'NOT_AVAILABLE',-1.509935600779355,1.0011178838260657,13.498401675497133,1.4820150418245763,0.0904037281870842,296.45786484151785,0.4970857501029968,0.21232804310595527,0.5789988040924072,-0.2360624670982361,-0.6904584169387817,947860.0,2015.0,-90.03964233398438,89.7827377319336,31.42014503479004,17.103263854980472,0.2940448224544525,0.34989863634109497,0.085709348320961,0.2399224042892456,1.6353784107819336e+18,2.0805383707161372e+18,b'3561-1037-1 ',2MASS J19454986+4702445,7.934940958953979,0.0,0.05929329627522146,0.0,0.11759633192638534,0.0,15.06469040476257,0.0,237.43720321633265,0.0,-21.48820300099746,0.0,14.052728480569957,0.0,1884.0501889807574,0.0,3.9023201744507645,0.0
7,6,,,0.5079479347845641,6.0,,,,,,0.5079479347845641,,,1459.789,47.043991,1.107,0.3109,-0.8308,,,,0.6989,0.21,0.15,-0.39,KIC0,9.815,0.031,10.091,0.029,10097040.0,11.041,9.728,0.02,4.401,0.056,-0.383,KIC0,1.249,,0.248,-0.218,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,0.0,0.0,0.0,9.152000000000001,0.3720000000000001,Table_1_Periodic.txt,DSEP,299.12256,1.167,0.802,-0.134,36.117,32.785,31.459,29.8,28.936,27.326,26.857,26.27,25.786,25.662,25.97300000000001,26.382,26.69400000000001,27.938,q1_q17_dr24_stellar,1.1111101110111012e+16,2015-01-15,6299,142.0,-208.0,PHO1,,0.43819848147153984,231.0395302567613,2.0,2.0,63.0,63.0,65.0,65.0,False,5.0,4.3631863594055185,2.484007018210832e-05,4.912477493286133,9.43236181940736,47.04400180714901,0.2868623876470669,0.8348580598831177,-0.20351842045784,-0.7444844841957092,False,65.26829532248999,322.4384679683846,-2147483648.0,81.3924990147552,2.9353487617576093e-05,10.0,3.8781969472009497,0.38415431614973305,-0.005239125341176987,-0.8368119597434998,686149.2466934925,2710.0404206634826,10.933723586652274,79.0,b'NOT_AVAILABLE',0.5434331725901087,1.1270926202327085,-5.799728801828255,1.4887658554538084,0.2559917271137237,299.12256574862124,0.6314584016799927,0.18563563878572034,0.6474161744117737,-0.11170078068971634,-0.7074430584907532,1108988.0,2015.0,-92.41165161132812,-63.933570861816406,42.011268615722656,8.455646514892576,0.33246973156929016,0.2768249213695526,0.20399047434329987,0.5267226099967957,1.6353784107819336e+18,2.0856135445929224e+18,b'3562-1942-1 ',2MASS J19562941+4702383,7.965769817095157,0.0,0.031577913870294114,0.0,0.06713840214524595,0.0,-5.119239887100652,0.0,229.30295789503003,0.0,13.394441165818533,0.0,3.2341724875214948,0.0,1826.574580970872,0.0,1.4095976964595534,0.0
8,7,,,0.8287586432736505,7.0,,,,,,0.8287586432736505,,,1459.789,47.137939,0.01322,0.005203,-0.001184,,,,0.8756,-0.02,0.22,-0.44,KIC0,9.757,0.018000000000000002,10.252,0.02,10122158.0,11.715,9.664,0.013,3.193,0.033,-0.028,AST11,2.083,,0.175,-0.925,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,0.0,0.0,0.0,0.0,0.0,0.0,DSEP,283.11945,6.055,0.31,-1.582,136.88,134.8,136.358,133.57299999999998,132.47299999999998,126.01,121.934,115.449,108.25,101.602,95.807,91.4,90.143,82.156,q1_q17_dr24_stellar,1.1111111111111112e+16,2015-01-15,5193,92.0,-185.0,PHO1,,0.409003675206888,183.31222829013473,5.0,0.0,103.0,108.0,108.0,108.0,False,5.0,4.0882744789123535,3.216656841686927e-05,5.712156295776367,19.35896371545634,47.137898590803005,0.2800093281624053,0.8797196745872498,-0.708973228931427,-0.8487238883972168,False,69.3948226894031,296.02314519198416,-2147483648.0,76.79531690033161,4.284955113652045e-05,14.0,1.38336670155261,0.3440869518333369,-0.5573726892471313,-0.927967369556427,373688.7505672378,122.73603352844042,11.593495003455873,116.0,b'NOT_AVAILABLE',-3.6124087902695576,0.5509303767730444,-0.19846253176523287,1.1624721315450417,0.4515633285045624,283.1194995623498,0.6797797679901123,0.15409737073858684,0.6326128840446472,-0.4921985566616058,-0.7267143130302429,841978.0,2015.0,-11.128833770751953,-65.48017883300781,31.899127960205078,-1.7404435873031616,0.13586904108524325,0.1242741271853447,0.17305974662303925,0.16395781934261322,1.6353784107819336e+18,2.1076192733870697e+18,b'3544-1254-1 ',2MASS J18522866+4708165,7.871514998867449,0.0,0.08445146139650576,0.0,0.26413429414760636,0.0,-2.0446717472408267,0.0,229.9117642997417,0.0,3.738976504479103,0.0,3.227835009670004,0.0,1809.7539011014946,0.0,2.5469406464249067,0.0
9,8,,,0.99160307030891,8.0,,,,,,0.99160307030891,,,217.618,47.123531,0.0004485,0.002039,-0.0001829,,,,0.8947,0.07,0.14,-0.53,KIC0,7.4060000000000015,0.016,7.971,0.024,10130225.0,9.658,7.286,0.017,2.293,0.369,-0.182,KIC0,3.615,,0.031,-2.4730000000000003,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,0.0,0.0,0.0,0.0,0.0,0.0,DSEP,287.22485,22.475,3.828,-13.634,51.023,57.407,64.982,71.542,79.968,93.966,98.826,108.747,124.455,136.151,144.245,152.257,155.589,182.441,q1_q17_dr24_stellar,1.11e+16,2015-01-15,4870,93.0,-179.0,PHO1,,0.3530036467629741,205.3433944941581,3.0,4.0,122.0,121.0,125.0,125.0,False,5.0,3.564479351043701,2.488398968125693e-05,7.438377380371094,16.741978067185453,47.12353885418985,0.21641152115596946,0.7432820200920105,-0.6342608332633972,-0.5751239657402039,False,68.57053793591325,303.46877945036124,-2147483648.0,77.82077709977632,1.898290814719176e-05,18.0,0.5954790374256117,0.2563735689994014,-0.3857560157775879,-0.778397262096405,2488998.6223380086,2751.3659479670873,9.534708423274424,138.0,b'NOT_AVAILABLE',4.4702539929625065,0.5955539605134664,-3.851186029999172,0.8864865237746609,0.07941592484712601,287.2248034445272,0.12150394171476366,0.13735693170979968,0.14802584052085874,-0.011609502136707306,-0.4876505434513092,1711201.0,2015.0,-89.92173767089844,57.6622200012207,11.772811889648438,-7.336223125457764,0.1132669523358345,0.1340046226978302,0.14380784332752228,0.1016613319516182,1.6353784107819336e+18,2.1306626319235425e+18,b'3546-1943-1 ',2MASS J19085396+4707247,7.818865802069313,0.0,0.20242427435471974,0.0,0.5076861486644798,0.0,58.536623966959965,0.0,215.92070928203918,0.0,47.02420237092968,0.0,51.03989914228465,0.0,1688.2550497638863,0.0,26.28532776144699,0.0
