age,age_err,bv,bv_err,prot,prot_err,vk,vk_err,kmag,kmag_err,tgas_parallax,tgas_parallax_error,teff,teff_err1,logg,logg_err1,feh,feh_err1
2.5,.1,.65,.1,18.4,1.,17.37,1.,15.765,1.,.4,.1,5543.,200.,4.864,.5,-1.31,.1
2.5,.1,.7,.1,19.62,1.,17.62,1.,15.971,1.,.4,.1,5782.,200.,4.369,.5,-1.31,.1
